NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    404.32 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    389.30 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    358.72 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    482.45 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    246.04 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   381 =  37.21% , Elapsed time =    131.48 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   383 =  37.40% , Elapsed time =    134.28 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   356 =  34.77% , Elapsed time =    125.05 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   291 =  28.42% , Elapsed time =    200.34 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   288 =  28.12% , Elapsed time =     94.48 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   355 =  34.67% , Elapsed time =    124.43 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   389 =  37.99% , Elapsed time =    132.64 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   271 =  26.46% , Elapsed time =    109.31 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   404 =  39.45% , Elapsed time =    100.85 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   362 =  35.35% , Elapsed time =    215.42 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    377.45 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    400.58 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    522.99 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    634.63 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    477.12 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   854 =  41.70% , Elapsed time =    344.24 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   620 =  30.27% , Elapsed time =    277.89 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   544 =  26.56% , Elapsed time =    188.57 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   806 =  39.36% , Elapsed time =  12592.53 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   776 =  37.89% , Elapsed time =    164.88 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   639 =  31.20% , Elapsed time =    176.56 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =  1028 =  50.20% , Elapsed time =  99114.07 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   514 =  25.10% , Elapsed time =    146.39 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   454 =  22.17% , Elapsed time =    256.57 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   624 =  30.47% , Elapsed time =    217.93 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    864.47 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    544.23 microseconds
