
    1024 ,      1 ,       0.63
    1024 ,      4 ,       0.64
    1024 ,     16 ,       0.62
    1024 ,     64 ,       0.66
    1024 ,    256 ,       0.63
    4096 ,      1 ,       4.38
    4096 ,      4 ,       4.51
    4096 ,     16 ,       5.08
    4096 ,     64 ,       5.26
    4096 ,    256 ,       4.71
   16384 ,      1 ,      17.19
   16384 ,      4 ,      30.57
   16384 ,     16 ,      30.60
   16384 ,     64 ,      36.55
   16384 ,    256 ,      33.01
   65536 ,      1 ,      26.87
   65536 ,      4 ,      83.25
   65536 ,     16 ,     156.82
   65536 ,     64 ,     171.89
   65536 ,    256 ,     106.87
  262144 ,      1 ,      29.24
  262144 ,      4 ,     108.23
  262144 ,     16 ,     281.67
  262144 ,     64 ,     304.44
  262144 ,    256 ,     166.15
 1048576 ,      1 ,      29.47
 1048576 ,      4 ,     112.21
 1048576 ,     16 ,     305.17
 1048576 ,     64 ,     333.35
 1048576 ,    256 ,     177.18
